Local time,Open,High,Low,Close,Volume
18.01.2010 22:00:00.000 GMT-0000,1.43816,1.44118,1.43755,1.43995,7376.2
19.01.2010 02:00:00.000 GMT-0000,1.44017,1.44056,1.43814,1.43895,10673.9002
19.01.2010 06:00:00.000 GMT-0000,1.43897,1.44124,1.43498,1.43519,16712.1001
19.01.2010 10:00:00.000 GMT-0000,1.43516,1.43526,1.42613,1.42829,15458.7998
19.01.2010 14:00:00.000 GMT-0000,1.42848,1.43067,1.42498,1.42919,15821.6001
19.01.2010 18:00:00.000 GMT-0000,1.42923,1.43045,1.42753,1.42855,13005.5
19.01.2010 22:00:00.000 GMT-0000,1.42859,1.42946,1.42051,1.42128,7570.3
20.01.2010 02:00:00.000 GMT-0000,1.42114,1.42276,1.41663,1.41869,10663.900000000001
20.01.2010 06:00:00.000 GMT-0000,1.41868,1.42197,1.41727,1.41846,16770.100300000002
20.01.2010 10:00:00.000 GMT-0000,1.41844,1.41931,1.41243,1.41355,16075.199700000001
20.01.2010 14:00:00.000 GMT-0000,1.41369,1.41420,1.40780,1.41139,16229.999500000002
20.01.2010 18:00:00.000 GMT-0000,1.41132,1.41148,1.40926,1.41051,13105.8999
20.01.2010 22:00:00.000 GMT-0000,1.41043,1.41348,1.40927,1.41112,7118.4
21.01.2010 02:00:00.000 GMT-0000,1.41086,1.41088,1.40656,1.40920,10658.900099999999
21.01.2010 06:00:00.000 GMT-0000,1.40922,1.41191,1.40413,1.40548,16705.1998
21.01.2010 10:00:00.000 GMT-0000,1.40544,1.40927,1.40247,1.40743,15692.8997
21.01.2010 14:00:00.000 GMT-0000,1.40750,1.41422,1.40297,1.40956,15972.6001
21.01.2010 18:00:00.000 GMT-0000,1.41011,1.41198,1.40768,1.40826,13019.400099999999
21.01.2010 22:00:00.000 GMT-0000,1.40836,1.41366,1.40649,1.41304,6893.9
22.01.2010 02:00:00.000 GMT-0000,1.41302,1.41364,1.41094,1.41263,11065.6001
22.01.2010 06:00:00.000 GMT-0000,1.41266,1.41645,1.41140,1.41601,16766.6997
22.01.2010 10:00:00.000 GMT-0000,1.41593,1.41636,1.41026,1.41064,15662.0003
22.01.2010 14:00:00.000 GMT-0000,1.41057,1.41805,1.40875,1.41524,15939.5998
22.01.2010 18:00:00.000 GMT-0000,1.41542,1.41694,1.41208,1.41361,13179.999899999999
24.01.2010 22:00:00.000 GMT-0000,1.41557,1.41705,1.41315,1.41539,6249.700000000001
25.01.2010 02:00:00.000 GMT-0000,1.41542,1.41725,1.41470,1.41605,13372.399800000001
25.01.2010 06:00:00.000 GMT-0000,1.41602,1.41697,1.41248,1.41497,16226.999899999999
25.01.2010 10:00:00.000 GMT-0000,1.41483,1.41939,1.41274,1.41435,14988.0998
25.01.2010 14:00:00.000 GMT-0000,1.41403,1.41593,1.41264,1.41492,16743
25.01.2010 18:00:00.000 GMT-0000,1.41489,1.41629,1.41377,1.41491,11120.999800000001
25.01.2010 22:00:00.000 GMT-0000,1.41493,1.41780,1.41419,1.41694,7050.8
26.01.2010 02:00:00.000 GMT-0000,1.41686,1.41717,1.40722,1.40781,13109.500199999999
26.01.2010 06:00:00.000 GMT-0000,1.40786,1.41101,1.40688,1.40965,15663.899999999998
26.01.2010 10:00:00.000 GMT-0000,1.40965,1.41069,1.40648,1.40756,15870
26.01.2010 14:00:00.000 GMT-0000,1.40754,1.41057,1.40397,1.41004,16637.8999
26.01.2010 18:00:00.000 GMT-0000,1.40997,1.41022,1.40669,1.40698,10785.099999999999
26.01.2010 22:00:00.000 GMT-0000,1.40701,1.40921,1.40616,1.40921,7258.3000999999995
27.01.2010 02:00:00.000 GMT-0000,1.40923,1.40957,1.40504,1.40650,13512.4999
27.01.2010 06:00:00.000 GMT-0000,1.40651,1.40703,1.40174,1.40539,16052.1001
27.01.2010 10:00:00.000 GMT-0000,1.40558,1.40864,1.40426,1.40475,15202.2002
27.01.2010 14:00:00.000 GMT-0000,1.40462,1.40620,1.40242,1.40386,16696.4002
27.01.2010 18:00:00.000 GMT-0000,1.40399,1.40519,1.39944,1.40200,10838.8999
27.01.2010 22:00:00.000 GMT-0000,1.40216,1.40384,1.39589,1.39765,7246.6
28.01.2010 02:00:00.000 GMT-0000,1.39783,1.40238,1.39545,1.40139,12849.3999
28.01.2010 06:00:00.000 GMT-0000,1.40136,1.40516,1.40007,1.40287,16029.399699999998
28.01.2010 10:00:00.000 GMT-0000,1.40274,1.40358,1.39795,1.39897,15782.7998
28.01.2010 14:00:00.000 GMT-0000,1.39902,1.40010,1.39454,1.39705,16598.3997
28.01.2010 18:00:00.000 GMT-0000,1.39708,1.39862,1.39581,1.39692,11026.9002
28.01.2010 22:00:00.000 GMT-0000,1.39686,1.39707,1.39110,1.39378,7140.2001
29.01.2010 02:00:00.000 GMT-0000,1.39373,1.39620,1.39196,1.39275,13226.8999
29.01.2010 06:00:00.000 GMT-0000,1.39282,1.39861,1.39240,1.39647,15798.7998
29.01.2010 10:00:00.000 GMT-0000,1.39636,1.39776,1.39326,1.39477,15352.7002
29.01.2010 14:00:00.000 GMT-0000,1.39473,1.39517,1.38601,1.38838,16401.1001
29.01.2010 18:00:00.000 GMT-0000,1.38843,1.38912,1.38589,1.38605,10800.700099999998
31.01.2010 22:00:00.000 GMT-0000,1.38608,1.38873,1.38518,1.38651,7036.2
01.02.2010 02:00:00.000 GMT-0000,1.38647,1.38840,1.38501,1.38775,13148.1999
01.02.2010 06:00:00.000 GMT-0000,1.38764,1.39123,1.38695,1.39114,16173.500499999998
01.02.2010 10:00:00.000 GMT-0000,1.39116,1.39349,1.38884,1.39118,15517.6001
01.02.2010 14:00:00.000 GMT-0000,1.39107,1.39330,1.38912,1.39125,17013.8999
01.02.2010 18:00:00.000 GMT-0000,1.39132,1.39366,1.39043,1.39289,11254.9002
01.02.2010 22:00:00.000 GMT-0000,1.39292,1.39343,1.39044,1.39087,7085.499999999999
02.02.2010 02:00:00.000 GMT-0000,1.39076,1.39303,1.38830,1.39208,13148.7
02.02.2010 06:00:00.000 GMT-0000,1.39209,1.39505,1.39085,1.39318,16057
02.02.2010 10:00:00.000 GMT-0000,1.39326,1.39580,1.39277,1.39353,15788.300299999999
02.02.2010 14:00:00.000 GMT-0000,1.39353,1.39707,1.39227,1.39552,16870.0998
02.02.2010 18:00:00.000 GMT-0000,1.39573,1.39748,1.39513,1.39629,10885.0999
02.02.2010 22:00:00.000 GMT-0000,1.39632,1.39759,1.39562,1.39621,7240.500000000001
03.02.2010 02:00:00.000 GMT-0000,1.39590,1.39699,1.39424,1.39672,13084.2002
03.02.2010 06:00:00.000 GMT-0000,1.39674,1.40247,1.39587,1.40107,15835.1999
03.02.2010 10:00:00.000 GMT-0000,1.40092,1.40195,1.39374,1.39407,15617.7998
03.02.2010 14:00:00.000 GMT-0000,1.39406,1.39569,1.38976,1.39084,17305.8999
03.02.2010 18:00:00.000 GMT-0000,1.39082,1.39205,1.38829,1.38922,11158.6001
03.02.2010 22:00:00.000 GMT-0000,1.38916,1.39022,1.38650,1.38804,7106.899899999999
04.02.2010 02:00:00.000 GMT-0000,1.38798,1.38964,1.38781,1.38875,13349.500100000001
04.02.2010 06:00:00.000 GMT-0000,1.38861,1.38896,1.38242,1.38417,15900.2
04.02.2010 10:00:00.000 GMT-0000,1.38448,1.38590,1.38165,1.38217,15885.9001
04.02.2010 14:00:00.000 GMT-0000,1.38209,1.38280,1.37270,1.37543,16327.999800000001
04.02.2010 18:00:00.000 GMT-0000,1.37549,1.37657,1.37184,1.37213,11139.0999
04.02.2010 22:00:00.000 GMT-0000,1.37218,1.37448,1.36693,1.36911,7398.800000000001
05.02.2010 02:00:00.000 GMT-0000,1.36891,1.37227,1.36830,1.37041,13220.6003
05.02.2010 06:00:00.000 GMT-0000,1.37042,1.37266,1.36464,1.36740,15961.8996
05.02.2010 10:00:00.000 GMT-0000,1.36745,1.37412,1.36575,1.37303,15114.599900000001
05.02.2010 14:00:00.000 GMT-0000,1.37298,1.37312,1.35932,1.36315,17482.5
05.02.2010 18:00:00.000 GMT-0000,1.36285,1.36775,1.35816,1.36763,11003.900099999999
07.02.2010 22:00:00.000 GMT-0000,1.36553,1.36661,1.36282,1.36395,8314.0001
08.02.2010 02:00:00.000 GMT-0000,1.36407,1.36478,1.36195,1.36410,11075.1001
08.02.2010 06:00:00.000 GMT-0000,1.36406,1.37128,1.36201,1.36923,17158.8003
08.02.2010 10:00:00.000 GMT-0000,1.36920,1.37119,1.36384,1.36721,15322.1001
08.02.2010 14:00:00.000 GMT-0000,1.36725,1.37108,1.36481,1.36944,15916.1001
08.02.2010 18:00:00.000 GMT-0000,1.36931,1.36967,1.36408,1.36475,13161.0001
08.02.2010 22:00:00.000 GMT-0000,1.36461,1.36715,1.36400,1.36706,7102.1
09.02.2010 02:00:00.000 GMT-0000,1.36739,1.37184,1.36594,1.36976,10613.6999
09.02.2010 06:00:00.000 GMT-0000,1.36963,1.37448,1.36914,1.37287,16806.2996
09.02.2010 10:00:00.000 GMT-0000,1.37295,1.37720,1.36936,1.37435,15625.400000000001
09.02.2010 14:00:00.000 GMT-0000,1.37436,1.38385,1.36906,1.37847,15847.900099999999
09.02.2010 18:00:00.000 GMT-0000,1.37844,1.37978,1.37664,1.37951,13004.7002
09.02.2010 22:00:00.000 GMT-0000,1.37961,1.38060,1.37737,1.37850,7123.7999
10.02.2010 02:00:00.000 GMT-0000,1.37846,1.37902,1.37322,1.37433,11238.400000000001
10.02.2010 06:00:00.000 GMT-0000,1.37427,1.37876,1.37405,1.37769,17492.500200000002
10.02.2010 10:00:00.000 GMT-0000,1.37765,1.38112,1.37269,1.37427,15489.7
10.02.2010 14:00:00.000 GMT-0000,1.37425,1.37620,1.36747,1.37383,16115.8999
10.02.2010 18:00:00.000 GMT-0000,1.37392,1.37544,1.37206,1.37335,13099.5
10.02.2010 22:00:00.000 GMT-0000,1.37336,1.37778,1.37273,1.37747,7243.199999999999
