Local time,Open,High,Low,Close,Volume
15.01.2018 22:00:00.000 GMT-0000,1.22634,1.22749,1.22478,1.22654,23875.869899999998
16.01.2018 02:00:00.000 GMT-0000,1.22654,1.22797,1.22552,1.22626,26826.9404
16.01.2018 06:00:00.000 GMT-0000,1.22627,1.22828,1.22158,1.22331,63047.6094
16.01.2018 10:00:00.000 GMT-0000,1.22332,1.22402,1.22014,1.22183,52667.6905
16.01.2018 14:00:00.000 GMT-0000,1.22182,1.22483,1.21952,1.22435,56050.1201
16.01.2018 18:00:00.000 GMT-0000,1.22435,1.22807,1.22430,1.22601,40138.1104
16.01.2018 22:00:00.000 GMT-0000,1.22595,1.23231,1.22541,1.22905,30716.7011
17.01.2018 02:00:00.000 GMT-0000,1.22906,1.22970,1.22372,1.22443,33947.220799999996
17.01.2018 06:00:00.000 GMT-0000,1.22443,1.22511,1.22083,1.22367,57056.159100000004
17.01.2018 10:00:00.000 GMT-0000,1.22367,1.22497,1.21964,1.22190,51097.701199999996
17.01.2018 14:00:00.000 GMT-0000,1.22193,1.22531,1.22124,1.22517,61772.4903
17.01.2018 18:00:00.000 GMT-0000,1.22516,1.22881,1.21770,1.21851,52991.3799
17.01.2018 22:00:00.000 GMT-0000,1.21846,1.22040,1.21650,1.21929,30151.7701
18.01.2018 02:00:00.000 GMT-0000,1.21931,1.22089,1.21734,1.22067,28872.5
18.01.2018 06:00:00.000 GMT-0000,1.22068,1.22178,1.21864,1.22143,48120.4492
18.01.2018 10:00:00.000 GMT-0000,1.22144,1.22525,1.22122,1.22492,50841.8799
18.01.2018 14:00:00.000 GMT-0000,1.22491,1.22648,1.22205,1.22282,60427.0107
18.01.2018 18:00:00.000 GMT-0000,1.22283,1.22472,1.22198,1.22377,37377.8496
18.01.2018 22:00:00.000 GMT-0000,1.22374,1.22536,1.22317,1.22433,26978.5207
19.01.2018 02:00:00.000 GMT-0000,1.22435,1.22701,1.22400,1.22606,32352.100000000002
19.01.2018 06:00:00.000 GMT-0000,1.22605,1.22953,1.22513,1.22817,51750.1201
19.01.2018 10:00:00.000 GMT-0000,1.22817,1.22841,1.22393,1.22433,56379.470700000005
19.01.2018 14:00:00.000 GMT-0000,1.22433,1.22571,1.22184,1.22325,59525.4092
19.01.2018 18:00:00.000 GMT-0000,1.22323,1.22385,1.22145,1.22145,33111.7094
21.01.2018 22:00:00.000 GMT-0000,1.22702,1.22726,1.22251,1.22285,28071.450299999997
22.01.2018 02:00:00.000 GMT-0000,1.22285,1.22375,1.22162,1.22313,30380.630400000002
22.01.2018 06:00:00.000 GMT-0000,1.22311,1.22557,1.22138,1.22495,46455.3408
22.01.2018 10:00:00.000 GMT-0000,1.22499,1.22670,1.22335,1.22493,41999.6504
22.01.2018 14:00:00.000 GMT-0000,1.22493,1.22604,1.22240,1.22434,56938.2207
22.01.2018 18:00:00.000 GMT-0000,1.22434,1.22628,1.22392,1.22614,31032.1196
22.01.2018 22:00:00.000 GMT-0000,1.22612,1.22754,1.22550,1.22662,21648.549899999998
23.01.2018 02:00:00.000 GMT-0000,1.22662,1.22758,1.22508,1.22578,29589.8808
23.01.2018 06:00:00.000 GMT-0000,1.22578,1.22708,1.22230,1.22377,52366.5303
23.01.2018 10:00:00.000 GMT-0000,1.22380,1.22647,1.22340,1.22585,53690.0889
23.01.2018 14:00:00.000 GMT-0000,1.22586,1.23061,1.22511,1.22790,65909.58989999999
23.01.2018 18:00:00.000 GMT-0000,1.22793,1.22996,1.22756,1.22982,34364.8496
23.01.2018 22:00:00.000 GMT-0000,1.22984,1.23152,1.22920,1.23069,24551.8501
24.01.2018 02:00:00.000 GMT-0000,1.23068,1.23353,1.23011,1.23246,34461.3095
24.01.2018 06:00:00.000 GMT-0000,1.23245,1.23558,1.23028,1.23370,59985.4004
24.01.2018 10:00:00.000 GMT-0000,1.23369,1.23678,1.23294,1.23657,63577.1309
24.01.2018 14:00:00.000 GMT-0000,1.23656,1.24020,1.23630,1.23914,70346.792
24.01.2018 18:00:00.000 GMT-0000,1.23914,1.24149,1.23902,1.24076,42850.540499999996
24.01.2018 22:00:00.000 GMT-0000,1.24071,1.24106,1.23845,1.24102,27858.9404
25.01.2018 02:00:00.000 GMT-0000,1.24103,1.24485,1.24055,1.24480,43104.298800000004
25.01.2018 06:00:00.000 GMT-0000,1.24480,1.24593,1.23893,1.24319,73200.74119999999
25.01.2018 10:00:00.000 GMT-0000,1.24318,1.24979,1.23971,1.24965,68740.2715
25.01.2018 14:00:00.000 GMT-0000,1.24965,1.25373,1.24622,1.24923,78988.4307
25.01.2018 18:00:00.000 GMT-0000,1.24922,1.25064,1.23639,1.23928,73636.5186
25.01.2018 22:00:00.000 GMT-0000,1.23928,1.24332,1.23699,1.24300,33533.3996
26.01.2018 02:00:00.000 GMT-0000,1.24299,1.24320,1.24120,1.24307,37114.8399
26.01.2018 06:00:00.000 GMT-0000,1.24305,1.24936,1.24279,1.24555,66177.3907
26.01.2018 10:00:00.000 GMT-0000,1.24556,1.24668,1.24207,1.24287,64220.3809
26.01.2018 14:00:00.000 GMT-0000,1.24287,1.24476,1.24071,1.24390,81270.9218
26.01.2018 18:00:00.000 GMT-0000,1.24388,1.24500,1.24062,1.24283,45816.7607
28.01.2018 22:00:00.000 GMT-0000,1.24232,1.24322,1.23958,1.23965,30137.980199999998
29.01.2018 02:00:00.000 GMT-0000,1.23968,1.24218,1.23851,1.24136,34467.7295
29.01.2018 06:00:00.000 GMT-0000,1.24136,1.24288,1.23885,1.24120,59780.9394
29.01.2018 10:00:00.000 GMT-0000,1.24120,1.24278,1.23590,1.23646,57719.8496
29.01.2018 14:00:00.000 GMT-0000,1.23645,1.23742,1.23367,1.23715,65270.708900000005
29.01.2018 18:00:00.000 GMT-0000,1.23716,1.23900,1.23690,1.23823,38223.8305
29.01.2018 22:00:00.000 GMT-0000,1.23818,1.23882,1.23682,1.23851,26973.6607
30.01.2018 02:00:00.000 GMT-0000,1.23851,1.23864,1.23601,1.23638,41736.6797
30.01.2018 06:00:00.000 GMT-0000,1.23638,1.24076,1.23350,1.23977,61846.8809
30.01.2018 10:00:00.000 GMT-0000,1.23979,1.24482,1.23947,1.24450,62918.6894
30.01.2018 14:00:00.000 GMT-0000,1.24450,1.24538,1.23839,1.24050,70701.8203
30.01.2018 18:00:00.000 GMT-0000,1.24052,1.24066,1.23841,1.24023,36684.29
30.01.2018 22:00:00.000 GMT-0000,1.24018,1.24245,1.23963,1.24143,30660.5611
31.01.2018 02:00:00.000 GMT-0000,1.24144,1.24376,1.23988,1.24369,46744.1796
31.01.2018 06:00:00.000 GMT-0000,1.24368,1.24624,1.24251,1.24512,59953.1601
31.01.2018 10:00:00.000 GMT-0000,1.24517,1.24729,1.24396,1.24645,56772.25
31.01.2018 14:00:00.000 GMT-0000,1.24648,1.24748,1.24065,1.24149,67662.7705
31.01.2018 18:00:00.000 GMT-0000,1.24150,1.24380,1.23868,1.24130,57746.3393
31.01.2018 22:00:00.000 GMT-0000,1.24131,1.24287,1.24047,1.24190,25990.21
01.02.2018 02:00:00.000 GMT-0000,1.24190,1.24282,1.24141,1.24206,23094.6499
01.02.2018 06:00:00.000 GMT-0000,1.24206,1.24496,1.23854,1.24461,64035.781299999995
01.02.2018 10:00:00.000 GMT-0000,1.24462,1.24621,1.24246,1.24492,61533.5499
01.02.2018 14:00:00.000 GMT-0000,1.24490,1.24980,1.24315,1.24783,72915.3486
01.02.2018 18:00:00.000 GMT-0000,1.24784,1.25229,1.24774,1.25076,52845.5703
01.02.2018 22:00:00.000 GMT-0000,1.25075,1.25154,1.24918,1.24993,26802.8403
02.02.2018 02:00:00.000 GMT-0000,1.24993,1.25039,1.24887,1.24959,28799.069799999997
02.02.2018 06:00:00.000 GMT-0000,1.24958,1.25182,1.24803,1.24866,55599.8389
02.02.2018 10:00:00.000 GMT-0000,1.24866,1.24988,1.24380,1.24450,58624.518500000006
02.02.2018 14:00:00.000 GMT-0000,1.24448,1.24776,1.24092,1.24692,80935.0801
02.02.2018 18:00:00.000 GMT-0000,1.24691,1.24906,1.24486,1.24559,56296.6304
04.02.2018 22:00:00.000 GMT-0000,1.24320,1.24583,1.24243,1.24538,31564.000500000002
05.02.2018 02:00:00.000 GMT-0000,1.24541,1.24664,1.24437,1.24604,25845.8398
05.02.2018 06:00:00.000 GMT-0000,1.24604,1.24748,1.24391,1.24606,51563.609300000004
05.02.2018 10:00:00.000 GMT-0000,1.24605,1.24719,1.24360,1.24375,57007.5
05.02.2018 14:00:00.000 GMT-0000,1.24375,1.24379,1.23989,1.24285,71487.581
05.02.2018 18:00:00.000 GMT-0000,1.24286,1.24286,1.23626,1.23661,81866.1886
05.02.2018 22:00:00.000 GMT-0000,1.23661,1.23882,1.23640,1.23754,45348.980200000005
06.02.2018 02:00:00.000 GMT-0000,1.23753,1.23788,1.23508,1.23756,59434.8105
06.02.2018 06:00:00.000 GMT-0000,1.23757,1.24343,1.23710,1.24029,75311.2598
06.02.2018 10:00:00.000 GMT-0000,1.24028,1.24169,1.23222,1.23436,100155.75879999998
06.02.2018 14:00:00.000 GMT-0000,1.23439,1.24040,1.23138,1.23910,82468.7188
06.02.2018 18:00:00.000 GMT-0000,1.23911,1.24045,1.23698,1.23766,55516.6992
06.02.2018 22:00:00.000 GMT-0000,1.23766,1.23932,1.23707,1.23891,25761.1601
07.02.2018 02:00:00.000 GMT-0000,1.23891,1.23929,1.23785,1.23909,27752.000099999997
07.02.2018 06:00:00.000 GMT-0000,1.23903,1.24055,1.23499,1.23505,59294.3193
07.02.2018 10:00:00.000 GMT-0000,1.23505,1.23546,1.23335,1.23373,73951.43160000001
07.02.2018 14:00:00.000 GMT-0000,1.23375,1.23450,1.22553,1.22698,74119.799
07.02.2018 18:00:00.000 GMT-0000,1.22698,1.22822,1.22459,1.22626,54535.1803
07.02.2018 22:00:00.000 GMT-0000,1.22625,1.22799,1.22517,1.22718,31991.96
08.02.2018 02:00:00.000 GMT-0000,1.22716,1.22866,1.22545,1.22748,40255.0108
08.02.2018 06:00:00.000 GMT-0000,1.22747,1.22947,1.22250,1.22305,64215.7207
08.02.2018 10:00:00.000 GMT-0000,1.22307,1.22765,1.22120,1.22752,83665.71
08.02.2018 14:00:00.000 GMT-0000,1.22755,1.22948,1.22321,1.22501,90373.4902
08.02.2018 18:00:00.000 GMT-0000,1.22502,1.22727,1.22419,1.22465,57661.54
08.02.2018 22:00:00.000 GMT-0000,1.22466,1.22638,1.22425,1.22520,29452.019200000002
09.02.2018 02:00:00.000 GMT-0000,1.22520,1.22618,1.22401,1.22575,35466.1495
09.02.2018 06:00:00.000 GMT-0000,1.22573,1.22873,1.22517,1.22646,57569.7891
09.02.2018 10:00:00.000 GMT-0000,1.22646,1.22795,1.22270,1.22765,65517.9502
09.02.2018 14:00:00.000 GMT-0000,1.22765,1.22765,1.22054,1.22141,77764.4296
09.02.2018 18:00:00.000 GMT-0000,1.22141,1.22551,1.22098,1.22510,63796.219699999994
11.02.2018 22:00:00.000 GMT-0000,1.22483,1.22804,1.22418,1.22716,23129.0395
12.02.2018 02:00:00.000 GMT-0000,1.22716,1.22969,1.22700,1.22826,24174.6094
12.02.2018 06:00:00.000 GMT-0000,1.22829,1.22958,1.22609,1.22636,56376.058600000004
12.02.2018 10:00:00.000 GMT-0000,1.22637,1.22752,1.22350,1.22429,46255.7206
12.02.2018 14:00:00.000 GMT-0000,1.22429,1.22822,1.22373,1.22750,60724
12.02.2018 18:00:00.000 GMT-0000,1.22750,1.22970,1.22747,1.22914,36366.241299999994
12.02.2018 22:00:00.000 GMT-0000,1.22914,1.23071,1.22855,1.22938,21657.5396
13.02.2018 02:00:00.000 GMT-0000,1.22938,1.23155,1.22844,1.23134,29831.6001
13.02.2018 06:00:00.000 GMT-0000,1.23134,1.23377,1.23096,1.23133,59514.1298
13.02.2018 10:00:00.000 GMT-0000,1.23135,1.23559,1.23121,1.23432,53113.7304
13.02.2018 14:00:00.000 GMT-0000,1.23433,1.23710,1.23427,1.23529,62831.6583
13.02.2018 18:00:00.000 GMT-0000,1.23531,1.23656,1.23445,1.23503,31951.2602
13.02.2018 22:00:00.000 GMT-0000,1.23499,1.23622,1.23470,1.23547,19444.2001
14.02.2018 02:00:00.000 GMT-0000,1.23545,1.23922,1.23540,1.23785,38130.040199999996
14.02.2018 06:00:00.000 GMT-0000,1.23785,1.23858,1.23505,1.23527,46735.850099999996
14.02.2018 10:00:00.000 GMT-0000,1.23529,1.23575,1.22758,1.23041,55839.08
14.02.2018 14:00:00.000 GMT-0000,1.23041,1.24203,1.23011,1.24177,88702.9004
14.02.2018 18:00:00.000 GMT-0000,1.24177,1.24651,1.24162,1.24486,48597.6299
14.02.2018 22:00:00.000 GMT-0000,1.24496,1.24732,1.24478,1.24609,31939.9798
15.02.2018 02:00:00.000 GMT-0000,1.24609,1.24682,1.24520,1.24657,30153.5097
15.02.2018 06:00:00.000 GMT-0000,1.24656,1.25103,1.24603,1.24870,60365.6201
15.02.2018 10:00:00.000 GMT-0000,1.24871,1.24949,1.24611,1.24737,55088.8594
15.02.2018 14:00:00.000 GMT-0000,1.24741,1.25055,1.24571,1.24713,73489.90229999999
15.02.2018 18:00:00.000 GMT-0000,1.24717,1.25088,1.24704,1.25058,40365.370599999995
15.02.2018 22:00:00.000 GMT-0000,1.25056,1.25147,1.24963,1.25134,21883.4898
16.02.2018 02:00:00.000 GMT-0000,1.25135,1.25553,1.25071,1.25488,38711.8095
16.02.2018 06:00:00.000 GMT-0000,1.25488,1.25488,1.25231,1.25273,56632.3595
16.02.2018 10:00:00.000 GMT-0000,1.25274,1.25290,1.24499,1.24526,66597.1006
16.02.2018 14:00:00.000 GMT-0000,1.24525,1.24600,1.24289,1.24405,69455.5518
16.02.2018 18:00:00.000 GMT-0000,1.24405,1.24426,1.23931,1.24041,40433.0497
18.02.2018 22:00:00.000 GMT-0000,1.24015,1.24349,1.24014,1.24342,20984.4
19.02.2018 02:00:00.000 GMT-0000,1.24341,1.24341,1.24044,1.24095,24549.2198
19.02.2018 06:00:00.000 GMT-0000,1.24093,1.24209,1.23876,1.24107,48544.1309
19.02.2018 10:00:00.000 GMT-0000,1.24106,1.24269,1.23703,1.23728,42530.4805
19.02.2018 14:00:00.000 GMT-0000,1.23726,1.24155,1.23690,1.24129,36390.9301
19.02.2018 18:00:00.000 GMT-0000,1.24128,1.24136,1.24042,1.24065,19882.9502
19.02.2018 22:00:00.000 GMT-0000,1.24064,1.24122,1.23849,1.23942,25524.3701
20.02.2018 02:00:00.000 GMT-0000,1.23942,1.23979,1.23792,1.23851,25146.6406
20.02.2018 06:00:00.000 GMT-0000,1.23851,1.23917,1.23429,1.23437,60583.279200000004
20.02.2018 10:00:00.000 GMT-0000,1.23436,1.23555,1.23199,1.23253,58928.7099
20.02.2018 14:00:00.000 GMT-0000,1.23254,1.23617,1.23224,1.23441,64600.8301
20.02.2018 18:00:00.000 GMT-0000,1.23442,1.23458,1.23301,1.23373,33272.7
20.02.2018 22:00:00.000 GMT-0000,1.23376,1.23447,1.23286,1.23371,19371.73
21.02.2018 02:00:00.000 GMT-0000,1.23372,1.23441,1.23169,1.23227,29719.8999
21.02.2018 06:00:00.000 GMT-0000,1.23226,1.23395,1.23075,1.23336,50310.78890000001
21.02.2018 10:00:00.000 GMT-0000,1.23333,1.23336,1.22999,1.23204,57084.6191
21.02.2018 14:00:00.000 GMT-0000,1.23203,1.23355,1.23036,1.23270,69090.2705
21.02.2018 18:00:00.000 GMT-0000,1.23268,1.23598,1.22810,1.22829,54295.8896
21.02.2018 22:00:00.000 GMT-0000,1.22828,1.22855,1.22650,1.22789,23096.460700000003
22.02.2018 02:00:00.000 GMT-0000,1.22787,1.22835,1.22714,1.22745,23098.8906
22.02.2018 06:00:00.000 GMT-0000,1.22746,1.22956,1.22597,1.22939,54274.9003
22.02.2018 10:00:00.000 GMT-0000,1.22938,1.23148,1.22645,1.23132,57622.5089
22.02.2018 14:00:00.000 GMT-0000,1.23134,1.23520,1.23054,1.23362,71559.67970000001
22.02.2018 18:00:00.000 GMT-0000,1.23364,1.23391,1.23194,1.23305,30809.45
22.02.2018 22:00:00.000 GMT-0000,1.23301,1.23372,1.23165,1.23250,21282.52
23.02.2018 02:00:00.000 GMT-0000,1.23252,1.23261,1.22954,1.23023,26395.96
